ID,Name,URL,Personality
11,Daddy Rabbit,https://peppapig.fandom.com/wiki/Daddy_Rabbit,"Daddy Rabbit is a wise, intelligent, and generous rabbit. He is good at describing and teaching more complicated subjects. In Mummy Rabbit's Bump, Mr. Rabbit provides support for Mummy Rabbit by opening the car door for her. Later on, after eating a funny mixture of food, she announces that the baby is coming, so Daddy Rabbit rushes the family to the hospital. He struggles to park the car in time and is devastated by the fact that he missed seeing the baby twins being born, but is overjoyed that they are finally here. Daddy Rabbit is also curious, as seen in Grandpa Pig's Pond, when he asked Grandpa Pig where he dug up such artifacts that he put in the museum. He is interested in antiques and vintage items, and often looks for things to add to the museum collection. In Rebecca Rabbit, George refuses to eat carrots, so Daddy Rabbit eases him into it by telling him that he thought he was a rabbit, and in Paper Aeroplanes, he compliments Daddy Pig on his unintentional way of sending important documents by making them into paper aeroplanes."
12,Uncle Pig,https://peppapig.fandom.com/wiki/Uncle_Pig,"Uncle Pig loves to play and have fun with his family, but he's more mature than Daddy Pig, since he's wiser."
13,Grampy Rabbit,https://peppapig.fandom.com/wiki/Grampy_Rabbit,"Grampy Rabbit is a kind, well-meaning rabbit. He is generous and helps people with their problems. In Doctor Hamster's Big Present, he makes Doctor Hamster a hamster wheel upon learning that she does not have the time or space to get fit and healthy. In Grampy Rabbit's Lighthouse, he keeps a big light on at night for sailors to find their way in the dark, and shouts in a foghorn on foggy days. However, Grampy Rabbit can also be absent-minded and sometimes refuses to follow the rules. An example of this can be seen in Jukebox and Grampy Rabbit's Hovercraft, when he entered sailing clubhouse property without having a  membership, claiming that his excuse for it was that he was with Grandpa Pig, who had a membership at the sailing club. In Space Adventure!, when he took Peppa, George, Granny Pig, Granny Dog, and Madame Gazelle to the moon, not realizing that it was just supposed to be a pretend game. In The Lifeboat, he forgets to take his cell phone with him on a sailing trip and eventually becomes stranded on the sea during a storm."
14,Daddy Pig,https://peppapig.fandom.com/wiki/Daddy_Pig,"Daddy Pig is a sweet, caring, hyperactive, fun-loving, and clumsy dad. He always supports what Peppa and George want, and goes out of his way to make sure they feel special. He does not tell his children when he disagrees with something they say or do, as he believes that they are too young to understand. In Father's Day, Peppa and George make a ketchup-flavored cake for him, which he pretends to like, and in When I Grow Up, he supports Peppa's dream of being a puddle jumping champion when she grows up. He consoles Peppa in Jumping Stick when she becomes frustrated over not being able to properly use his jumping stick. He is almost never strict with Peppa, but this can be seen in a few episodes. In Bicycles, he has a talk with Peppa when she accidentally crashes into his giant pumpkin, and in The Market, he initially says no to her when she asks him to buy her a singing fish toy."
16,Mummy Rabbit,https://peppapig.fandom.com/wiki/Mummy_Rabbit,"Mummy Rabbit is a calm, caring, and kind rabbit. She cares a lot for her family and was willing to go through the trouble in helping her sister do her difficult jobs when she was injured in Miss Rabbit's Day Off. However, despite her being nice, Mummy Rabbit is also absent-minded and sometimes unaware of how to handle situations. This can be seen in Mummy Rabbit's Bump, when she ate a funny mixture of food at Peppa's house minutes before realizing she would be going into labor. Another example that shows this is in Miss Rabbit's Day Off, when she wasn't strict enough about asking Rebecca and Richard to put away all their toys. As a result, Miss Rabbit injures herself after tripping over Richard's toy car. Being the mother of four children, Mummy Rabbit is very motherly and often knows how to take care of children."
17,Auntie Pig,https://peppapig.fandom.com/wiki/Auntie_Pig,"Aunty Pig is very friendly, fun-loving, calm and dreamer. She is much like her co-sister-in-law Mummy Pig."
18,Chloé Pig,https://peppapig.fandom.com/wiki/Chlo%C3%A9_Pig,"Chloé appears to be around ten years old and acts like a grown up. She will only accept playing ""baby games"" if someone younger like George wanted play them. She gets along with her cousins and has two best friends, Belinda Bear and Simon Squirrel. She knows how to make daisy chains, lion manes, and construction paper dolls by filling up the spaces."
19,Suzy Sheep,https://peppapig.fandom.com/wiki/Suzy_Sheep,"Suzy Sheep is kind, caring, supportive, and inclusive, which makes her a good friend. In Flying on Holiday, she rings the doorbell multiple times hoping to see Peppa home from her vacation. In Pumpkin Competition, when the playgroup must start an evening pumpkin contest without Peppa, Suzy expresses sadness. However, in School Camp, Suzy asks to camp with the other girls from playgroup instead of Peppa, and near the end of the episode, she becomes scared after hearing an owl near her tent and rushes to Madame Gazelle's tent without telling Peppa. She has a bossy side, which can be seen in multiple episodes. In Chatterbox, she bullies Peppa over not being able to be silent, and argues with the playgroup in International Day. She is easily annoyed and likes to take control of situations. In When I Grow Up, Suzy shares that she would like to be a nurse to help sick people get better, and also to tell people what to do. She communicates by using M's instead of B's while bleating."
20,Granny Pig,https://peppapig.fandom.com/wiki/Granny_Pig,"Granny Pig is a kindhearted and caring grandmother. She always tries to accommodate Peppa and George and enjoys spending time with them. She likes wearing perfume, cooking, shopping, and relaxing. In Perfume, she teaches Peppa how to make her own perfume, and in Treasure Hunt, she creates a treasure hunt for Peppa and George. She likes strawberries, as seen in Strawberries. She is often casual and does not spend as much time thinking about the future as Grandpa Pig does. Granny Pig has a lot of friends and often likes to throw parties. She also likes dancing and drinking tea. Granny Pig's favorite type of music is rock and roll, as revealed in Jukebox."
21,Rosie and Robbie Rabbit,https://peppapig.fandom.com/wiki/Rosie_and_Robbie_Rabbit,No description available
22,Mademoiselle Lapin,https://peppapig.fandom.com/wiki/Mademoiselle_Lapin,"Like Miss Rabbit, Mademoiselle Lapin is hardworking, dilligent, and quick to do things, as seen when she hurriedly rescues Daddy Pig. However, she is also feisty, as seen when she reacts irritated to Mummy Pig when she mistakens her for Miss Rabbit. She also acts confused and unaware of the name ""Miss Rabbit,"" which could imply that she may not know about the Miss Rabbit from Peppatown."
23,Charlotte Sheep,https://peppapig.fandom.com/wiki/Charlotte_Sheep,Charlotte Sheep is a friendly babysitter who gets along well with her cousin Suzy and happily takes care of her and Peppa while telling them she's seventeen and tells the girls that when they grow up they'll be able of doing things like driving a car or staying up late.
24,Mrs. Leopard,https://peppapig.fandom.com/wiki/Mrs._Leopard,"Mrs. Leopard is kindhearted, supportive, and friendly. She expresses excitement over being able to help Mrs. Cow choose a wedding dress. She is passionate about wearing presentable clothes, being a dressmaker. Mrs. Leopard is sweet to children, which is seen when she lets Peppa help her cut fabric. However, she can also be a bit careless and strict. When Mrs. Cow returned her wedding dress, Mrs. Leopard accidentally cut into it, unaware of the damage that she did to the dress. Mrs. Leopard can be strict when it comes to bringing tea."
25,Daddy Cat,https://peppapig.fandom.com/wiki/Daddy_Cat,"Daddy Cat is like the other fathers in the series. He also really likes fish, as does his wife and Candy. Also, he likes to climb trees, which in an instance left him stuck and in need of being rescued by Police Officer Squirrel and Police Officer Panda in the episode Police Car."
26,Mummy Sheep,https://peppapig.fandom.com/wiki/Mummy_Sheep,"Mummy Sheep is polite and willing to do whatever her daughter wants. Despite going to the gym, she gets easily tired, as seen in Families. She can get easily panicked, as seen in School Project, when she realizes she has to help Suzy with a craft project for playgroup, and be short-tempered, as seen in Granny Sheep Moves In, when her mother makes her carry a bunch of boxes at once. She dislikes balls and noisy areas, as seen in Garden Games and Racquet Games, when a ball falls into her tea in both episodes. Sometimes, Mummy Sheep likes to be childish, as seen in Trampolines, when she spontaneously starts jumping on the children's trampolines. She tries to avoid spending too much money and buying too many toys. On rare occasions, she can be rude and gossip, as seen in Suzy Goes Away, when she complains to Mummy Pig that where they live is boring. She also talks excitedly about moving in the episode and tells Mummy Pig like it is official, even though she does not even know if she has gotten the job to even move, and at the end of the episode, she realizes she did not get the job. This indicates her absent-mindedness."
27,Granny Sheep,https://peppapig.fandom.com/wiki/Granny_Sheep,"Granny Sheep is a wise and passionate old lady. She is creative and sweet to children, as revealed in Cardboard Boxes, when she helps Suzy and her friends make crafts and games with cardboard boxes. She has a strong interest in art, as revealed in Art House Day, where she attends an art house fair and even features her own artwork. She explains in detail how she created each piece and expresses emotion when describing them."
28,Mummy Cat,https://peppapig.fandom.com/wiki/Mummy_Cat,"Mummy Cat is social and prefers spending time in other places and trying new things than trying watching television at home. This can be inferred by her in The Aquarium. She is also seen in Party Bus, when she supervised Candy's friends at her birthday party. She is a good seller and sold one of each type of fish in a crate to the pig family."
29,Balloon Cat,https://peppapig.fandom.com/wiki/Background_Characters,No description available
30,Candy Cat,https://peppapig.fandom.com/wiki/Candy_Cat,"Candy is friendly and kind. Like the others, she loves to try new things and enjoys all sorts of activities - like playing a sport, having a tea party, or just going out to the beach or town. She is also highly curious."
31,Granddad Dog,https://peppapig.fandom.com/wiki/Granddad_Dog,"Granddad Dog appears to be smart and intelligent that he takes over his son's place in 3 seasons, with a knowledge in both sea-related things and mechanic work. He has a bit of a short temper when dealing with the other grandfathers, and sometimes bickers with Grandpa Pig and insults his skills as a captain - as Grandpa Pig does with him, but he cares a great deal about his friend. He is also kind to the other characters."
32,Danny Dog,https://peppapig.fandom.com/wiki/Danny_Dog,"Danny Dog is kind, inclusive, and a little bit rambunctious."
33,Granny Dog,https://peppapig.fandom.com/wiki/Granny_Dog,TBA
34,Mrs Corgi,https://peppapig.fandom.com/wiki/Mrs._Corgi,"Mrs. Corgi shares similar personality traits with Mr. Stallion. She likes to give advice and brag about her abilities, such as spotting a rare bird and scoring a hole-in-one in golf. She also likes to be unique by dancing like a robot in Jukebox. She is not very easygoing and often critizes people. In Jukebox, she complains about Mr. Stallion's choice of music, and in Grampy Rabbit's Hovercraft, she accuses Grampy Rabbit's hovercraft of making noise and disturbing her peaceful day at sea."
35,Mr. Labrador,https://peppapig.fandom.com/wiki/Mr._Labrador,"Mr. Labrador is loyal, assertive, and friendly. He enjoys singing, drinking tea, eating ice cream, and digging up the road."
36,Mr. Coyote,https://peppapig.fandom.com/wiki/Mr._Coyote,He is shown to be a kind dog although he did complain that the square dancing was too loud in The Diner.
37,Mummy Pony,https://peppapig.fandom.com/wiki/Mummy_Pony,"Mummy Pony is a caring, kind, and concerned mother. She cares about her son's well-being and always looks out for him. She knows when to be strict, as seen in Pirate Treasure, when she asks Pedro where he kept his glasses, and scolds him when he tells her a code word instead of properly answering her. In Pedro is Late, she runs into Pedro's room in the morning and rushes him to get up for a school trip. She manages to stop the school bus by chasing after it in her car. Mummy Pony's determination makes her a caring and responsible mother. She is also patient and almost never gets mad at Pedro for not remembering to wake up on time for his duties. In School Play, she helps Pedro practice his lines for a school play the class was rehearsing for."
38,Pedro Pony,https://peppapig.fandom.com/wiki/Pedro_Pony,"Pedro Pony is a friendly pony. He is best friends with Danny Dog. He is somewhat smart in his fields of interest, but otherwise appears to be a bit naive and scatterbrained, as shown in some episodes when he gets the wrong fancy dress costume to an occasion, for example, in Danny's Pirate Party when he arrived to a pirate themed party dressed as a cowboy and in Gym Class, he wore a superhero costume instead of his gym kit."
39,Zoë Zebra,https://peppapig.fandom.com/wiki/Zo%C3%AB_Zebra,"Zoë Zebra is a friendly zebra who appears to be generally nice and a bit quiet. But, she sometimes doesn't pay attention to others and can misbehave in her own environment; as shown when she changed the television without asking Daddy Zebra's permission, or not allowing Zuzu and Zaza to join her slumber party until the other girls convinced her they can stay in the sitting room. However, she seems to get along well with her little sisters, and friends compared to Peppa's relationship with George."
40,Mr. Stallion,https://peppapig.fandom.com/wiki/Mr._Stallion,"Mr. Stallion shares similar personality traits with Mrs. Corgi. He likes to give advice and show off his abilities, such as sailing professionally on his boat and scoring a hole-in-one in golf. He is also stubborn as revealed in Jukebox, where he criticized Granny Pig's choice of music, rock and roll, and switched it to disco. He is also irresponsible as revealed in Police Car, where his car engine stopped, revealing that he did not take it to fill up on gas soon enough before the engine stopped. He is often excited to see Grandpa Pig and has a loud voice."
41,Daddy Dog,https://peppapig.fandom.com/wiki/Captain_Daddy_Dog_(character),"One with the waters, Captain Dog loves to be out on the sea; exploring and searching for riches and fishes. He doesn't know what to do with himself whenever he is away from it and shows signs of missing his time out dearly. However, he also adores his family and is happy to see them whenever he can, although he has to be reminded not to leave."
42,Mummy Zebra,https://peppapig.fandom.com/wiki/Mummy_Zebra,"Mummy Zebra is a caring, sweet, friendly, but strict mother. She always supports what her children want and dedicates her time to helping them make a pottery set in Pottery. In The Park, she is seen with Zoë Zebra looking at the ducks in the park. In Sleepover, she trusts Zoë to be alone with her friends and not cause trouble or be too loud during a girls sleepover, but becomes angry when they make a lot of noise and ignore her rules. Mummy Zebra is patient and provides a solution to Peppa when she gets frustrated over not being able to professionally do pottery. She is very supportive, even of other children, and compliments George's clay dinosaur."
43,Zuzu & Zaza Zebra,https://peppapig.fandom.com/wiki/Zuzu_%26_Zaza_Zebra,"As toddlers, they are a lot like the others. They appear to be younger than the others, but despite that, they are quite energetic and playful and enjoy spending time with their older sister when they're not playing with each other or the other toddlers. They are regarded as sweet by Peppa and her friends."
44,Grandpa Zebra,https://peppapig.fandom.com/wiki/Grandpa_Zebra,No description available
45,Daddy Zebra,https://peppapig.fandom.com/wiki/Daddy_Zebra,"Daddy Zebra is kind, caring, and always willing to help. He cares about his job, as seen in Zoë Zebra the Postman's Daughter, when he passionately delivered all of Zoe's birthday invitations to his house. His generosity can be seen in The Toy Cupboard, when he offered to build the pig family's toy cupboard for them. He is competitive when playing sports, and knows how to calm children down, as seen in Sleepover."
46,Mummy Dog,https://peppapig.fandom.com/wiki/Mummy_Dog,"Mummy Dog is kindhearted, hardworking and supportive. She is also a bit frightened, as seen in School Play, when Granddad Dog scares her while pretending to be the Big Bad Wolf from Little Red Riding Hood. Her kindness is seen in Canal Boat, when she surprises Captain Dog with a canal boat trip for his birthday, and in Danny's Pirate Bedroom, she helps Danny and Captain Dog redecorate Danny's room. She is hardworking as a firefighter, as seen in The Fire Engine, where she turns on the hose during a fire, and in Fire Station Practice, where she runs an obstacle course with the other mummies. She is also good at solving problems, as seen in Danny's Pirate Party, when she stops Grandpa Pig and Granddad Dog's argument by thanking them for planning Danny's birthday party."
47,Mr. Pony,https://peppapig.fandom.com/wiki/Mr._Pony,"Mr. Pony is an optician visited by others to get their eyes tested. In his spare time, he is also part of Daddy Pig's football team. He has a Scottish accent."
48,Granny Zebra,https://peppapig.fandom.com/wiki/Granny_Zebra,TBA
49,Emily Elephant,https://peppapig.fandom.com/wiki/Emily_Elephant_(character),"Emily is shown to be kind and gentle. She doesn't speak much due to being shy. In her debut episode Emily Elephant, Emily is shy when she arrives at playgroup and doesn't say anything to anyone, though she plays games with the children and fascinates them with her ability to use her trunk (revealing to be the loudest in the loudest game). She enjoys jumping in muddy puddles and most other things that the other children like doing. In Sleepover, she participates in a storytelling game with the girls and overcomes her shyness by making a loud trumpet sound with her trunk. She is not a fan of dancing on her own, as revealed in Shake, Rattle and Bang, when Madame Gazelle shows her how to play the castanets while dancing, when Emily asks if the dancing can be skipped. She enjoys hiking and exploring with her family, as seen in Around the World with Peppa and The Flying Vet. Emily enjoys trying new things, as seen in Peppa's Circus, when she attempts to juggle. Despite being shy, Emily has musical talent, as revealed in Talent Day, when she can play the recorder really well. Sometimes, Emily boasts about Edmond's cleverness, such as in Science Museum, though most of the time she does not say anything when he speaks intelligently."
50,Delphine Donkey,https://peppapig.fandom.com/wiki/Delphine_Donkey,No description available
51,Mrs. Donkey,https://peppapig.fandom.com/wiki/Mrs._Donkey,No description available
52,Mummy Elephant,https://peppapig.fandom.com/wiki/Mummy_Elephant,"Mummy Elephant is a caring and hard-working mother. She throws a house party for her son in Edmond Elephant's Birthday and prepares games, orders, food, and invites guests. She is calm and patient, making her a good mother. In Winter Games, she takes Edmond and his friends' skiing on Snowy Mountain. Like Edmond, Mummy Elephant has an interest in science and enjoys outdoor activities such as hiking, as revealed in The Flying Vet and Around the World with Peppa."
53,Granddad Elephant,https://peppapig.fandom.com/wiki/Granddad_Elephant,"Granddad Elephant is calm, well-mannered, and excited over little things, such as tea, and drinking it with others. He is polite and gets along well with the other elderlies at the charity shop."
54,Edmond Elephant,https://peppapig.fandom.com/wiki/Edmond_Elephant,"Edmond Elephant is surprisingly clever and intelligent, especially for a younger kid. He is proud of his nickname ""clever clogs"" and often smiles big when people call him it. Although he likes this name, he sometimes wishes to be called ""child prodigy,"" as seen in Children's Festival. Besides being witty, Edmond is also caring, helpful, and unafraid to take risks. In The Flying Vet, he expresses concern over seeing a sick gecko. In Going Boating, he helps his family row their boat in a boating race. His carefree nature is seen in Science Museum, when he leisurely agrees to take a dangerous ride, not caring about the dangers of it or getting hurt. Edmond is generally a happy and fascinated person, though sometimes he can be sensitive. Examples of this are seen in Edmond Elephant's Birthday, when he cries over not winning a party game, and in Spring, when he cries with his friends over not finding any chocolate eggs during an egg hunt. He also cries in International Day, when Suzy Sheep and Zoë Zebra attempt to take the sandpit from him and his friends."
55,Monsieur Donkey,https://peppapig.fandom.com/wiki/Monsieur_Donkey,No description available
56,Didier Donkey,https://peppapig.fandom.com/wiki/Didier_Donkey,"Didier is kind and friendly. He has a love of dinosaurs, much to George's excitement. When he meets Peppa and George, he plays with them, along with his sister, Delphine. He enjoys spending time with new people."
57,Granny Elephant,https://peppapig.fandom.com/wiki/Granny_Elephant,TBA
58,Kylie Kangaroo,https://peppapig.fandom.com/wiki/Kylie_Kangaroo,No description available
59,Daddy Fox,https://peppapig.fandom.com/wiki/Daddy_Fox,"Generous and kind, Mr. Fox is always willing to give someone an item - as long as he brought it with him or hadn't sold out of it yet. He is friendly and seems to enjoy taking late night strolls during the evening. He is also a decent seller, willing to accept a payment of buttons from George, instead of actual money."
60,Joey Kangaroo,https://peppapig.fandom.com/wiki/Joey_Kangaroo,"Joey Kangaroo is too little to do much of a personality. He may possibly be shy, since he stays in Miss Kangaroo's pouch all of the time."
61,Daddy Kangaroo,https://peppapig.fandom.com/wiki/Daddy_Kangaroo,"Not much is known about Mr. Kangaroo, he seems very jolly, funny and caring."
62,Mummy Kangaroo,https://peppapig.fandom.com/wiki/Mummy_Kangaroo,Mrs. Kangaroo is Kylie Kangaroo and Joey's mother.
63,Freddy Fox,https://peppapig.fandom.com/wiki/Freddy_Fox_(character),"Freddy is a sweet, friendly, and clever fox."
64,Mrs Fox,https://peppapig.fandom.com/wiki/Mrs_Fox,Mummy Fox is shown to have a somewhat stern personality with her patients at work.
65,Mr. Wolf,https://peppapig.fandom.com/wiki/Mr._Wolf,Details may not be final.
66,Wendy Wolf,https://peppapig.fandom.com/wiki/Wendy_Wolf,"Wendy Wolf is a friendly child who gets along with the other children. She is normally only seen with the playgroup and has a lot of fun with them. She seems to be a little like Rebecca, in that she is a bit more quiet than some of the others, and she also appears to be a bit knowledgeable on certain subjects. She is also seen when making her first debut in Season 4."
67,Granny Wolf,https://peppapig.fandom.com/wiki/Granny_Wolf,No description available
68,Grandma Cow,https://peppapig.fandom.com/wiki/Grandma_Cow,TBA
69,Mr. Bull's Brother,https://peppapig.fandom.com/wiki/Mr._Bull%27s_Brother,"Mr. Bull's Brother's personality is the same as his brother's personality, he is very loud and energetic."
70,Mr. Bull,https://peppapig.fandom.com/wiki/Mr._Bull,"Mr. Bull is polite, kind, easygoing, and considerate. In Digger World, when Peppa accidentally knocks down his bricks, he does not get angry at her and instead chuckles, understanding that she did not intend to do it. In Mr. Bull in a China Shop, he decides to repay Miss Rabbit by fixing a pothole in her road after she fixed his teapot. Despite being kind, Mr. Bull can also be a bit uncontrollable. This is seen with his obsession in digging up roads, even if they don't have to be dug up. Mr. Bull is also shown to be absent-minded, as seen in Mr. Bull is Getting Married!, where he casually tells Madame Gazelle that he is getting married, not believing it to be a big deal. Mr. Bull is also shown to be a bit inconsiderate and rude, as seen in Funfair, when he fat shames Daddy Pig, much to Mummy Pig's anger."
71,Mime Bull,https://peppapig.fandom.com/wiki/Mime,TBA
72,Mrs. Wolf,https://peppapig.fandom.com/wiki/Mr.s_Wolf,TBA
73,Mr. Rhinoceros,https://peppapig.fandom.com/wiki/Mr._Rhinoceros,Mr. Rhinoceros is a grey rhinoceros who is one of Mr. Bull's workers... more TBA
74,Mrs Cow,https://peppapig.fandom.com/wiki/Mrs._Cow,"Mrs. Cow is responsible, calm, and hardworking. She knows a lot about children, being a children's nurse. She is accommodating, as seen in Hospital, when she stops her duties just to scratch Pedro's ear. However, she can also be snappy and impatient sometimes, as seen in The Lifeboat, when she asks Grampy Rabbit why he took so long to come to her cheese shop. In Getting Ready for the Wedding!, she cries emotionally when trying on a dress for her wedding. Mrs. Cow likes tent dresses and the color golden yellow. She also likes the stench of smelly cheese. In Naughty Tortoise, she gets stuck in a tree trying to rescue Tiddles the Tortoise, much to her frustration. She may be a fan of Mr. Potato because she showed up to see him when he came to town for a special appearance, as seen in Mr. Potato Comes to Town."
75,Carol Cow,https://peppapig.fandom.com/wiki/Carol_Cow/Gallery,No description available
76,Rohan Rhinoceros,https://peppapig.fandom.com/wiki/Rohan_Rhinoceros,"Rohan is a kind-hearted and friendly rhino who enjoys spending time with others. He also likes shopping, swimming, and watching shows."
77,Clemens Cow,https://peppapig.fandom.com/wiki/Clemens_Cow,No description available
78,Signor Goat (Daddy),https://peppapig.fandom.com/wiki/Signor_Goat,He's like the other fathers in the show.
79,Grandpa Rhinoceros,https://peppapig.fandom.com/wiki/Grandpa_Rhinoceros,No description available
80,Frau Cow,https://peppapig.fandom.com/wiki/Frau_Cow,No description available
81,Gertrude Goat (Mummy),https://peppapig.fandom.com/wiki/Background_Characters,No description available
82,Gabriella Goat,https://peppapig.fandom.com/wiki/Gabriella_Goat,"Gabriella is a kindhearted and friendly goat. This is seen in Holiday in the Sun, when she introduces herself to the pig family and teaches them, specifically Peppa, about Italian traditions, such as what they like to eat. She helps Peppa choose a postcard to write to Goldie when she hears that she misses her. Later on in the episode, after the pig family leave the local village, Gabriella tells her father that Peppa forgot Teddy. She kindly gives Teddy to a police officer, who returns it to her. In The End of the Holiday, Gabriella waves the pig family goodbye as they leave the vacation house. She also discovers once again that Peppa forgot Teddy, and she gives it back to the police officer, who returns it back to Peppa."
83,Mrs. Rhinoceros,https://peppapig.fandom.com/wiki/Mrs._Rhinoceros,TBA
84,Aunty Goat,https://peppapig.fandom.com/wiki/Aunty_Goat,"Aunty Goat is a passionate and caring seller, as seen when she angrily snaps at Daddy Pig for teasing her store. It is implied that she has a healthy relationship with Gabriella, Uncle Goat, and Signor Goat."
85,Birgit's Dad,https://peppapig.fandom.com/wiki/Birgit%27s_Dad,No description available
86,Mummy Bear,https://peppapig.fandom.com/wiki/Mummy_Bear,Linda Bear is caring to people.
87,Birgit's Mother,https://peppapig.fandom.com/wiki/Birgit%27s_Mother,No description available
88,Uncle Goat,https://peppapig.fandom.com/wiki/Uncle_Goat,"Uncle Goat is an enthusiastic chef who enjoys his job. In Holiday in the Sun, he enthusiastically announced the ingredients as he prepared a pizza. He also seems to be quite fond of compliments, as he was satisfied and honored that Daddy Pig, out of everyone, enjoyed his pizza the most."
89,Gerald Giraffe,https://peppapig.fandom.com/wiki/Gerald_Giraffe_(character),"Gerald Giraffe is friendly, caring, and helpful. He is friends with the children at playgroup and can get along with them pretty well. Being tall, he is also good at helping others take down things from high surfaces. He also once rescued Tiddles the Tortoise from a treetop for Doctor Hamster. Sometimes, though, Gerald can be embarrassed or feel different being the tallest because this means he cannot do a lot of things the same way that his friends can. In Art House Day, he offers Peppa and Suzy cheeseballs as a snack. Gerald can be a bit shy sometimes and dislikes hide-and-seek because of his height."
90,Birgit Bear,https://peppapig.fandom.com/wiki/Birgit_Bear,No description available
91,Mummy Mole,https://peppapig.fandom.com/wiki/Mummy_Mole,No description available
92,Baby Bear,https://peppapig.fandom.com/wiki/Baby_Bear,No description available
93,Daddy Giraffe,https://peppapig.fandom.com/wiki/Daddy_Giraffe,TBA
94,Belinda Bear,https://peppapig.fandom.com/wiki/Belinda_Bear,"Belinda is slightly moody, a bit careless, but also caring and kind. In Chloé's Big Friends, she nicknames George ""Geh"" (pronounced Juh) and calls him and Peppa ""little."" She also thinks that children's music is ""babyish,"" as revealed in Chloé's Big Friends and Roller Disco. She seems to act mature for her age, especially since she is only a few years older than Peppa. Her kindness is seen in a few episodes. In Once Upon a Time, she asks Peppa if she would like to have lunch with her family, and in Skateboarding, she gives Peppa a skateboarding lesson. Throughout the lesson, she also asks Peppa if she is feeling okay or if she needs assistance, which proves that she is caring. Belinda is good at following directions and likes to be part of any games that her friends play."
